Player	Team-For	Home-Team	Away-Team	Date	Goal-Time	Goal-Type	Comp	Assist	Assist2	
Marcina, Alen	Puerto Rico Islanders	Puerto Rico Islanders	Rochester Rhinos	4/13/2007	14		LGE	Delgado, Noah		
Herrera, Victor Manuel	Puerto Rico Islanders	Puerto Rico Islanders	Rochester Rhinos	4/13/2007	47		LGE	Marcina, Alen		
Diallo, Hamed	Rochester Rhinos	Puerto Rico Islanders	Rochester Rhinos	4/13/2007	50		LGE			
Bertz, Kenny	Rochester Rhinos	Miami FC	Rochester Rhinos	4/15/2007	70		LGE	Menyongar, Johnny		
Coggins, Jacob	Charlotte Eagles	Charlotte Eagles	Crystal Palace Baltimore	4/20/2007	15		LGE	Herrera, Jorge		
Akwari, Nelson	Charlotte Eagles	Charlotte Eagles	Crystal Palace Baltimore	4/20/2007	19		LGE			
Coggins, Jacob	Charlotte Eagles	Charlotte Eagles	Crystal Palace Baltimore	4/20/2007	28		LGE			
Shak, Steve	Charlotte Eagles	Charlotte Eagles	Crystal Palace Baltimore	4/20/2007	51		LGE	Herrera, Jorge		
Kante, Ibrahim	Crystal Palace Baltimore	Charlotte Eagles	Crystal Palace Baltimore	4/20/2007	87		LGE			
Antoniuk, Daniel	Atlanta Silverbacks	Atlanta Silverbacks	Montreal Impact	4/21/2007	15		LGE	Hayes, David		
Antoniuk, Daniel	Atlanta Silverbacks	Atlanta Silverbacks	Montreal Impact	4/21/2007	62		LGE	Millwood, Machel		
Palleschi, Matthew	Montreal Impact	Atlanta Silverbacks	Montreal Impact	4/21/2007	75		LGE	Leduc, Patrick		
Di Lorenzo, Leonardo	Montreal Impact	Atlanta Silverbacks	Montreal Impact	4/21/2007	88		LGE			
Low, Kupono	Carolina Railhawks	Carolina Railhawks	Minnesota Thunder	4/21/2007	8		LGE	Brightwell, Stuart		
Toure, Ansu	Minnesota Thunder	Carolina Railhawks	Minnesota Thunder	4/21/2007	70	Penalty	LGE			
Lookingland, Michael	Harrisburg City Islanders	Harrisburg City Islanders	Wilmington Hammerheads	4/21/2007	45		LGE	Schofield, David		
Nweke, Charles	Wilmington Hammerheads	Harrisburg City Islanders	Wilmington Hammerheads	4/21/2007	1		LGE			
Gregor, Andrew	Portland Timbers	Portland Timbers	Puerto Rico Islanders	4/21/2007	2		LGE			
Kreamalmeyer, Luke	Portland Timbers	Portland Timbers	Puerto Rico Islanders	4/21/2007	53		LGE	Ready, Troy		
Gregor, Andrew	Portland Timbers	Portland Timbers	Puerto Rico Islanders	4/21/2007	86		LGE			
Zapata, Alberto	Puerto Rico Islanders	Portland Timbers	Puerto Rico Islanders	4/21/2007	83		LGE	Marcina, Alen		
Burke, Michael	Richmond Kickers	Richmond Kickers	Cincinnati Kings	4/21/2007	71		LGE	Harding, Evan		
Gorres, Sascha	Richmond Kickers	Richmond Kickers	Cincinnati Kings	4/21/2007	82		LGE			
Sebrango-Rodriguez, Eduardo	Vancouver Whitecaps	Vancouver Whitecaps	Seattle Sounders	4/21/2007	55		LGE	Valente, Alfredo		
Buete, George (Scott)	Atlanta Silverbacks	Atlanta Silverbacks	Minnesota Thunder	4/27/2007	42		LGE	Millwood, Machel		
McManus, Anthony (Tony)	Atlanta Silverbacks	Atlanta Silverbacks	Minnesota Thunder	4/27/2007	65		LGE	Bobo, Matthew		
Millwood, Machel	Atlanta Silverbacks	Atlanta Silverbacks	Minnesota Thunder	4/27/2007	67		LGE	Antoniuk, Daniel		
Farber, Brian	Minnesota Thunder	Atlanta Silverbacks	Minnesota Thunder	4/27/2007	90		LGE			
Coggins, Jacob	Charlotte Eagles	Charlotte Eagles	Western Mass Pioneers	4/27/2007	8		LGE	Shak, Steve		
Johnson, Benjamin	Charlotte Eagles	Charlotte Eagles	Western Mass Pioneers	4/27/2007	55		LGE			
Cameron, Sean	Miami FC	Miami FC	Seattle Sounders	4/27/2007	13		LGE			
Vasquez, Eric	Miami FC	Miami FC	Seattle Sounders	4/27/2007	68		LGE			
Gonzalez, Luis (Luichi)	Miami FC	Miami FC	Seattle Sounders	4/27/2007	73		LGE	Cameron, Sean		
Knox, Nathan	Seattle Sounders	Miami FC	Seattle Sounders	4/27/2007	14		LGE	Alcaraz-Cuellar, Hugo		
Levesque, Roger	Seattle Sounders	Miami FC	Seattle Sounders	4/27/2007	62		LGE	Alcaraz-Cuellar, Hugo		
Severs, Chad	Harrisburg City Islanders	Bermuda Hogges	Harrisburg City Islanders	4/27/2007	72		LGE	Tanzini, Matt		
Fuller, Ian	Charleston Battery	Charleston Battery	Montreal Impact	4/28/2007	4		LGE			
Armstrong, Stephen	Charleston Battery	Charleston Battery	Montreal Impact	4/28/2007	90	Penalty	LGE			
Fabro, Martin	Montreal Impact	Charleston Battery	Montreal Impact	4/28/2007	3		LGE	Di Lorenzo, Leonardo		
Gbeke, Charles	Montreal Impact	Charleston Battery	Montreal Impact	4/28/2007	8		LGE	Palleschi, Matthew		
Di Lorenzo, Leonardo	Montreal Impact	Charleston Battery	Montreal Impact	4/28/2007	45		LGE			
Cheurlin, Romain	Cincinnati Kings	Cincinnati Kings	Cleveland City Stars	4/28/2007	66		LGE	Sarkodie, Kwame		
Potteiger, Derek	Cleveland City Stars	Cincinnati Kings	Cleveland City Stars	4/28/2007	77		LGE	Cummings, Jack		
